Smiles,SPS,nSPS
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)CS(C)(=O)=O,504,13.263157894736842
CN=C(O)c1cc(C#N)cc(C)c1NC(=O)c1cc(Cn2nnc(C(F)(F)F)n2)nn1-c1ncccc1Cl,425,11.18421052631579
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,308,16.210526315789473
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1C(C)C,180,10.588235294117647
CCCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,218,12.11111111111111
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,137,9.785714285714286
CCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,538,16.303030303030305
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,514,16.580645161290324
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,221,10.045454545454545
Cc1cc(Cl)ccc1N=CN(C)C,124,9.538461538461538
CN=C(O)Oc1cccc(N=CN(C)C)c1,147,9.1875
CN=C(O)Oc1ccc(N=CN(C)C)c(C)c1,160,9.411764705882353
CN=CNc1ccc(C)cc1C,111,9.25
ClC(Cl)(Cl)Cl,60,12.0
O=[N+]([O-])C(Cl)(Cl)Cl,79,11.285714285714286
Clc1ccc(Cl)cc1,74,9.25
CC(Cl)(Cl)Cl,60,12.0
c1ccc2ccccc2c1,100,10.0
O=S(=O)(F)F,58,11.6
ClC(Cl)C(Cl)Cl,66,11.0
CC(C)N1C(=O)N(c2ccccc2)CS/C1=N\C(C)(C)C,394,18.761904761904763
N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,192,16.0
OC(=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1Cl)N=C(O)c1c(F)cccc1F,345,11.89655172413793
O=C(N=C(O)c1ccccc1Cl)Nc1ccc(Cl)cc1,198,9.9
OC(=Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1)N=C(O)c1c(F)cccc1F,380,11.176470588235293
O=C(N=C(O)c1c(Cl)cccc1Cl)Nc1ccc(Cl)cc1,211,10.047619047619047
O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,211,10.047619047619047
O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1,427,12.558823529411764
OC(=Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F)N=C(O)c1c(F)cccc1F,367,11.121212121212121
OC(=Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1)N=C(O)c1c(F)cccc1F,329,11.344827586206897
O=C(N=C(O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,410,12.8125
OC(=Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1)N=C(O)c1c(F)cccc1F,409,12.78125
OC(=Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F)N=C(O)c1c(F)cccc1F,423,12.818181818181818
O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(C(F)(F)F)cc1,265,11.041666666666666
OC(=Nc1cc(Cl)c(F)c(Cl)c1F)N=C(O)c1c(F)cccc1F,250,10.416666666666666
O=C(N=C(O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1,260,10.833333333333334
